ID,性別,世代,キャンペーン反応フラグ,購入金額_201304,購入金額_201404,キャンペーン前M,キャラクター商品M,生活用品M,文具M,娯楽商品M,本類M,おにぎりM,スイーツM,パンM,ファストフードM,飲料M,お惣菜M,お弁当M,キャンペーン前R,キャラクター商品R,生活用品R,文具R,娯楽商品R,本類R,おにぎりR,スイーツR,パンR,ファストフードR,飲料R,お惣菜R,お弁当R
14,男,10代以下,1,1170,2030,12880,2910,0,0,0,800,2690,1000,4170,860,2330,0,600,12,12,NA,NA,NA,141,15,56,26,12,72,NA,151
15,男,50代,1,12030,15700,177470,20170,9550,630,15000,12380,16060,7910,27130,3840,60850,4280,9810,1,3,3,22,9,16,1,28,3,6,2,32,1
16,女,70代以上,1,21860,26650,201690,28520,200,3150,19000,11200,20370,19250,31660,7500,59710,3600,13000,1,1,45,35,216,53,2,5,1,4,1,1,21
17,女,70代以上,1,7560,12090,111915,13380,5450,655,2500,12860,9310,11830,13660,6280,33760,2120,8550,3,5,181,23,81,4,6,15,5,3,5,233,27
18,女,10代以下,1,5900,13450,120750,16770,10200,440,8500,6480,15180,14060,14540,6940,23390,4650,9040,1,6,56,2,22,3,2,24,4,13,2,4,15
19,男,20代,1,3130,2530,38090,5030,0,1800,7500,0,3570,1770,3390,1780,12470,250,4190,1,1,NA,224,30,NA,16,45,1,23,1,156,28
20,女,30代,1,15990,25535,165890,21670,5020,700,3000,13800,16720,16060,24940,7960,50940,5230,12410,3,3,4,19,350,5,5,4,4,3,5,25,5
21,女,70代以上,1,2090,10070,56235,7710,0,675,0,5200,6670,4790,7510,4320,19700,1170,2680,2,4,NA,41,NA,68,5,5,2,4,2,145,16
22,女,60代,1,18050,19405,216170,21740,2350,760,18000,16480,21950,22590,24630,7260,57420,9410,21410,1,2,101,56,92,3,2,1,1,7,1,21,9
23,女,10代以下,1,13010,30920,203980,32240,6600,1240,10000,7760,21420,24310,36830,13780,50470,3830,13430,1,1,25,33,275,14,1,10,1,10,4,47,28
24,男,10代以下,1,15200,23160,197390,32710,3650,2160,15000,20180,22170,11400,39270,8880,48790,1450,13790,1,1,4,7,191,54,1,25,1,4,2,7,25
25,女,50代,1,3530,7970,49100,4380,400,200,0,4280,4530,5430,7830,640,15860,1600,5290,1,1,45,57,NA,70,1,17,1,71,1,96,17
26,男,10代以下,1,1990,2900,20820,4970,0,200,0,600,3580,1020,3920,1440,5970,0,3390,7,19,NA,136,NA,217,19,7,19,50,19,NA,150
27,女,60代,1,15180,28110,195220,20730,6900,1780,11000,20600,17660,18100,25920,11340,57910,1920,10560,2,2,46,21,160,7,5,5,2,5,2,133,16
28,男,30代,1,17040,29150,217090,27070,7000,200,15000,10620,22950,11990,29650,9960,68640,2810,27200,1,2,29,30,162,23,6,3,2,12,1,3,2
29,男,60代,1,13140,18600,153170,17600,2320,1400,9000,20100,16650,9920,21960,5120,41720,5570,12440,1,1,192,152,21,14,7,1,1,13,4,66,16
30,女,10代以下,1,5680,11180,93630,13370,470,3000,3000,2880,10350,12830,14100,2880,27470,1640,10340,2,2,27,24,49,48,9,6,3,21,2,26,10
31,女,10代以下,1,11550,19970,177250,24190,2200,1800,15000,17740,20850,13950,34290,9040,39550,3700,11240,1,2,23,15,243,18,4,6,1,2,2,21,2
32,女,10代以下,1,3910,8455,63165,12320,3800,865,0,4400,8080,5690,12040,2820,14960,1320,4890,1,1,103,3,NA,97,2,3,1,41,1,30,34
33,男,50代,1,900,4970,52505,3290,2800,55,20000,1500,3180,870,4400,1140,12980,200,3780,2,4,240,225,304,122,2,114,5,4,8,27,22
34,女,40代,1,1130,4810,32320,5420,400,100,2000,1880,3160,2600,4940,1820,9940,1200,2790,1,1,210,192,34,34,3,18,1,15,1,114,30
35,男,30代,1,9330,18710,141050,22900,2920,1770,3000,8080,14050,10240,22880,3640,48980,1620,16050,2,2,112,27,349,41,3,2,4,24,2,16,3
36,男,70代以上,1,22620,30030,222865,22750,9150,945,15000,17740,19720,9620,34410,4500,74130,4990,19450,1,5,6,34,61,16,6,3,3,10,2,34,14
37,女,10代以下,1,9040,17190,80740,10780,3020,560,0,3980,9480,14600,11420,4540,19010,2200,9140,1,1,18,9,NA,122,2,8,1,7,2,47,7
38,男,30代,1,4060,14400,84970,9840,0,380,4000,9360,8010,4440,16830,2260,28950,750,6870,1,1,NA,8,49,36,1,25,1,35,1,77,10
39,女,20代,1,11180,26710,173455,19330,8270,635,9000,21780,16090,14300,18160,6800,55500,4730,10010,1,1,52,257,7,1,1,4,1,3,1,9,7
40,男,70代以上,1,3700,10760,48940,7060,1400,0,5000,6460,5800,2450,8040,1800,11110,610,2970,2,2,21,NA,352,5,5,20,2,105,5,223,31
41,男,60代,1,14090,14120,113235,15880,2200,455,4000,7740,13140,6820,17120,4220,38000,2510,11400,1,1,166,55,98,101,6,9,1,8,4,150,4
42,女,10代以下,1,12250,20240,149905,22190,4700,1315,8000,8880,15550,12500,25270,8180,35930,2990,15930,1,1,20,150,156,4,2,1,1,14,1,28,1
43,女,10代以下,1,6810,11240,83670,12200,1000,770,0,6880,10390,11810,13320,5100,16600,4080,8600,3,3,206,44,NA,27,3,4,6,6,7,5,27
44,男,70代以上,1,12960,20740,164155,18980,3750,2055,18000,6280,18240,10430,30270,6900,48250,1960,11240,1,1,281,27,116,23,5,2,1,3,3,7,3
45,男,30代,1,1760,1910,13780,1790,0,0,0,900,1750,590,1860,400,5960,500,1100,3,7,NA,NA,NA,14,55,22,7,127,3,34,3
46,女,60代,1,10940,22380,170895,20610,4300,925,7500,12860,16690,16760,21720,5560,61470,3170,9070,1,3,127,28,156,23,4,2,3,2,1,10,6
47,男,60代,1,6630,13620,109025,11480,9120,355,5000,12600,10180,7550,15860,3400,28940,1630,10740,1,1,57,58,84,50,1,59,9,26,1,113,12
48,女,30代,1,5350,3360,41970,3040,4000,110,0,2400,4730,3060,6320,1820,16910,0,600,8,8,137,346,NA,211,8,36,15,70,10,NA,130
49,女,30代,1,7530,21250,134940,19070,3350,470,3000,6960,14620,16310,20000,4540,43000,860,12940,1,1,28,58,118,3,4,6,1,7,4,49,4
50,女,30代,1,5820,16070,107455,14560,0,655,5000,9600,10670,12700,14610,6740,33340,3600,5370,1,1,NA,193,48,48,6,6,1,4,1,33,10
51,男,40代,1,5310,9110,59630,11180,1700,120,0,2460,8840,2410,11010,1520,22080,1930,6080,4,4,35,219,NA,19,18,5,4,27,4,24,26
52,男,20代,1,11870,24250,175735,24190,16670,2445,4000,8960,21850,9960,28430,8700,53050,2300,10790,1,2,14,56,102,8,2,1,1,4,3,52,14
53,男,10代以下,1,12770,11640,110700,15040,8550,810,0,14900,13530,3620,22490,4780,25660,3350,7070,1,1,25,12,NA,1,1,5,3,2,3,63,25
54,女,40代,1,1650,6980,53950,7880,1000,400,4000,4880,3810,4280,8820,2080,18670,1330,2190,2,3,92,277,119,41,3,72,2,5,2,3,68
55,男,70代以上,1,4035,12040,61125,8570,1750,865,2500,5140,7990,2260,9110,1340,20670,450,6850,2,2,147,4,217,46,3,5,10,2,6,111,6
56,女,30代,1,4710,3800,40345,4840,2000,55,0,1700,2070,4100,7020,1240,14460,1630,4260,2,10,346,238,NA,20,50,15,3,2,2,50,2
57,男,20代,1,10460,31735,186450,24350,6400,2650,5500,9680,18670,11100,27640,8440,69630,2350,14330,1,3,48,1,263,4,4,1,3,7,1,3,1
58,男,60代,1,1290,1350,15190,2170,120,0,0,0,1710,320,2490,200,5330,950,3500,11,14,47,NA,NA,NA,14,204,21,15,11,73,37
59,女,60代,1,8200,9520,132310,9400,3120,1050,35000,7100,11420,9640,12440,2920,30200,3210,11660,1,4,249,22,216,5,4,5,1,43,4,3,11
60,男,60代,1,4370,3240,47730,4510,4600,520,0,4980,5880,2740,4190,2280,11380,430,7280,4,4,74,44,NA,21,4,18,36,37,4,77,15
61,女,20代,1,14190,24020,172930,19060,6980,1020,0,12980,16840,13410,25710,6100,57380,3240,20730,3,4,36,79,NA,70,3,12,3,44,3,12,5
62,男,30代,1,14450,18100,190465,22600,2400,1535,18000,18920,25140,13560,26150,6160,56810,3600,7960,2,2,70,31,42,22,2,31,2,5,3,18,37
63,男,60代,1,6200,4150,49145,8960,600,2665,0,1300,5200,1510,8850,2340,16380,750,3280,4,5,42,32,NA,149,4,67,11,17,9,178,9
64,女,70代以上,1,4220,2080,45590,6380,200,100,0,6300,4190,7330,5850,580,14070,500,4080,2,2,37,324,NA,4,22,16,5,2,5,35,9
65,女,10代以下,1,14720,21230,137560,21130,3450,470,0,10960,18100,14730,25780,7020,38860,3330,7780,1,1,2,35,NA,30,1,9,1,1,1,20,17
66,男,30代,1,5290,10220,150410,13520,8800,220,20500,9380,15130,11670,16850,3000,41810,1230,15980,1,4,141,4,8,14,5,11,4,28,3,10,3
67,女,70代以上,1,6160,10610,134835,12700,3000,765,25000,9060,10550,11830,12860,5840,34670,5080,8360,2,2,84,33,28,8,4,14,2,9,3,74,28
68,男,70代以上,1,10190,16050,114320,9450,6120,350,5000,2900,9680,13800,15050,3520,40960,930,10310,1,4,190,331,107,130,2,1,4,6,5,109,6
69,男,70代以上,1,15120,19570,200650,26370,5120,1280,2000,17120,20620,16520,32410,5380,71750,3880,15150,1,1,38,15,43,4,2,7,1,6,2,55,2
70,男,40代,1,12585,7680,103345,9490,2700,275,16500,10860,9570,4890,12320,6260,27590,1420,6960,2,6,68,64,197,10,8,15,2,7,8,50,12
71,女,50代,1,14660,37755,200290,21820,7200,1020,10500,6720,21170,21050,24220,8520,67970,3840,19510,1,1,217,2,47,17,1,10,1,5,1,24,10
72,男,30代,1,16435,26350,206000,24980,7120,1270,7500,17180,18540,12000,24360,13340,70830,4250,16250,1,1,20,18,214,1,1,3,1,1,1,22,12
73,男,30代,1,25710,32450,173840,20600,15920,620,12500,8560,16060,6060,29840,6260,52400,2510,14840,1,2,70,69,130,1,4,2,2,5,1,27,13
74,男,40代,1,18370,28630,236990,24900,3320,1480,34000,14380,28170,11490,33270,6800,70690,6110,17710,1,2,64,20,77,5,2,13,1,10,2,5,16
75,男,50代,1,17240,22490,214715,30860,10650,1125,8500,15100,22050,11410,35970,5880,69320,3010,22160,1,1,14,10,47,6,6,9,1,5,4,73,24
76,男,60代,1,6660,16480,105665,16020,1970,955,0,10800,15350,6310,17240,3680,36140,1770,7700,1,3,112,200,NA,19,2,5,5,8,1,75,18
77,男,50代,1,13010,21950,181250,29750,2420,1320,4000,8720,21040,11590,30270,5840,68960,2750,17010,1,3,123,33,105,1,1,5,1,4,1,8,4
78,女,30代,1,5930,13690,108955,13470,1300,705,0,6080,10450,10660,19030,4620,35170,2060,13180,2,4,37,72,NA,44,2,12,4,10,2,17,7
79,男,20代,1,11550,10090,110260,11810,21350,350,6500,6000,11400,8490,12070,2320,29320,750,6660,1,2,22,185,149,30,1,61,3,11,6,87,6
80,男,60代,1,11275,35800,174375,21920,3620,4025,0,17140,22370,10470,30030,6440,58090,5230,8880,1,1,67,38,NA,18,2,11,1,25,2,16,15
81,女,10代以下,1,3200,5890,61090,11040,0,2240,0,8780,7900,6000,11170,5040,12230,1680,2870,5,5,NA,169,NA,19,5,10,5,19,7,137,94
82,男,60代,1,13810,28600,182045,24730,18590,1165,3000,8600,20100,12230,28480,10540,55390,4830,12180,2,2,6,34,344,62,2,8,4,4,2,20,17
83,男,20代,1,2710,3950,35800,4480,200,0,0,1400,3210,4150,4990,1320,14280,1250,2380,1,1,119,NA,NA,73,1,22,5,90,1,73,32
84,女,60代,1,16925,25410,208115,21210,3520,1885,7500,9980,24810,23860,27340,7540,67580,7950,14380,1,2,43,56,20,36,1,7,2,20,1,31,19
85,女,50代,1,11280,20090,208740,22320,6950,1280,3000,21020,25500,16180,24130,8300,72080,4280,17140,1,1,60,51,222,2,2,1,1,1,1,24,8
86,男,40代,1,3035,1750,23335,2860,0,165,0,6940,2960,1220,3050,960,5170,0,1800,8,16,NA,331,NA,89,33,116,8,23,8,NA,13
87,女,30代,1,24900,20700,235630,26300,8500,1380,7500,16040,23720,27250,36190,8740,74650,4240,14510,1,1,24,6,32,7,1,5,1,4,1,59,1
88,男,50代,1,2390,3920,43975,6890,0,265,0,1040,6550,970,7160,3900,17970,250,2850,1,1,NA,48,NA,69,1,98,4,11,1,240,18
89,男,30代,1,8780,21400,148480,16170,400,510,21500,11820,14970,8720,23350,6620,43560,3000,6640,1,1,198,62,38,7,1,24,3,5,5,44,13
90,男,40代,1,2850,5340,53270,3700,0,420,3000,2900,5540,5940,8800,1220,18390,500,4690,3,10,NA,260,140,24,20,24,5,67,3,38,37
91,女,40代,1,3560,9535,72100,7400,1720,350,6000,7600,7500,8620,5630,5620,18660,2260,3280,2,8,234,14,104,26,2,29,10,12,6,174,52
92,女,60代,0,230,2760,10470,720,0,0,0,500,470,930,4130,320,2980,180,590,13,51,NA,NA,NA,98,54,36,13,51,48,217,69
93,女,30代,1,20850,26700,258465,28830,7000,1725,14000,24180,26110,27660,28860,9240,74550,5110,21800,1,1,21,16,279,17,1,6,4,9,1,3,19
94,男,70代以上,1,15040,22160,173490,23380,2600,1250,7000,23960,17450,9900,28060,5620,51890,4080,13510,1,2,9,142,81,31,2,16,1,12,1,83,7
95,男,60代,1,2800,4540,47980,6130,0,0,0,3300,5220,1620,7000,1460,20140,950,5990,5,6,NA,NA,NA,50,6,109,15,30,5,283,13
96,男,20代,1,14870,37420,169145,21100,13010,1775,12500,10100,14630,11150,26510,5980,52900,1680,10460,1,1,1,17,45,74,1,1,2,8,1,9,8
97,女,30代,1,8420,13460,85325,10520,1400,255,3000,5200,10540,8580,11670,2800,27300,2200,7880,1,1,139,25,319,15,3,1,1,13,4,94,32
98,男,70代以上,1,13340,28110,137725,15840,5540,2495,3000,12160,15000,10620,21170,4500,43580,2360,9650,1,1,108,60,22,6,1,4,4,33,1,6,1
99,女,60代,1,11110,31790,208975,21660,9900,1495,10000,9160,18620,23620,23310,8740,69010,4420,19640,1,1,27,17,35,3,1,5,1,7,1,18,7
100,女,70代以上,1,31320,22170,199840,19750,3000,540,14000,16080,22150,16160,26160,7560,64120,5780,14550,1,3,46,37,245,38,5,10,3,2,1,18,18
101,男,20代,1,11910,9890,123885,12400,12420,325,4500,9380,12630,7130,15240,3120,38060,1200,12970,1,4,13,94,13,13,4,1,1,12,1,59,32
102,男,50代,0,660,2190,31470,3990,3000,300,0,1040,4240,870,7490,520,7780,1180,2680,2,4,214,139,NA,260,6,157,2,32,2,128,2
103,男,60代,1,420,900,17730,2060,0,50,0,1500,1700,1830,3230,1000,5030,250,2200,3,3,NA,230,NA,28,17,25,3,63,3,201,92
104,女,70代以上,0,5060,15830,46725,6820,600,55,2500,1180,5870,4090,6750,2980,14840,920,1900,3,5,112,8,202,3,5,38,8,42,6,63,63
105,女,70代以上,1,3590,16850,109460,12400,2000,1010,3000,4240,9340,12290,18540,2880,36290,4600,8230,2,5,167,144,269,42,6,11,4,12,2,85,11
106,男,50代,1,7170,8490,90130,10740,1200,250,4000,5860,13530,6370,13180,2400,31000,1060,7680,1,1,16,191,62,2,2,1,1,77,2,47,22
107,男,60代,1,7320,7300,70485,9280,2800,455,0,6180,7400,5410,11090,2080,25320,1000,4250,1,2,26,2,NA,26,1,5,2,50,3,14,5
108,女,70代以上,1,6130,12870,125655,10200,5500,155,36000,8700,10010,6740,9150,2060,27650,3480,8390,1,1,27,167,186,92,1,19,1,108,9,59,22
109,男,60代,1,3350,7130,41960,4360,2020,110,0,600,3560,2540,6030,1040,13300,2180,6960,3,16,21,35,NA,255,8,98,16,15,5,95,5
110,男,10代以下,1,5160,5350,52570,7540,0,0,5500,4660,3030,2330,9800,1820,15050,750,6160,1,4,NA,NA,89,12,7,12,1,8,6,32,8
111,男,10代以下,1,7310,6030,70980,13550,3400,350,7500,7380,6960,3150,12540,2580,15260,3080,5970,1,1,139,102,98,15,1,5,1,65,3,64,5
112,女,30代,1,6990,5550,48830,7400,2000,0,0,2280,5750,3830,6620,3300,14820,1300,6790,2,2,327,NA,NA,16,20,3,2,2,3,23,4
113,女,50代,0,4620,270,12355,810,0,55,0,0,240,120,960,420,4050,0,6190,2,60,NA,289,NA,NA,2,40,36,17,2,NA,143
114,男,10代以下,1,1250,1340,17620,1890,0,360,5000,0,3210,1570,1860,320,3520,0,1200,2,39,NA,57,352,NA,2,8,13,75,2,NA,84
115,男,50代,1,8510,9730,87935,12710,4400,575,0,4660,13490,6070,12140,2320,32010,2340,5480,8,8,44,57,NA,114,22,29,13,8,10,46,30
116,女,70代以上,1,7130,16400,114830,12060,0,1260,18000,3900,10530,11050,18270,4540,33770,1560,4990,1,1,NA,10,190,39,6,17,1,22,4,99,35
117,女,70代以上,1,4280,8450,64870,6390,1150,0,1000,2800,8020,8280,8860,2320,21720,2640,5760,3,9,91,NA,231,17,3,32,9,3,3,51,5
118,女,10代以下,1,7500,11090,72055,8790,1300,325,0,6380,7760,12940,10900,6080,14190,1480,8670,1,1,22,137,NA,49,1,1,1,20,4,7,13
119,男,20代,1,2310,1970,27840,3170,3600,0,7000,0,2480,1140,2860,980,7520,250,790,5,6,241,NA,183,NA,18,5,6,53,5,337,9
120,女,30代,1,5310,13240,139355,12380,1950,1115,15000,13880,13880,13220,13320,4660,41800,3820,10020,1,1,95,161,148,69,1,1,1,6,1,61,22
121,女,70代以上,1,2720,1680,40900,3580,300,0,0,4480,2400,2970,4100,1640,15420,4760,2470,3,3,114,NA,NA,59,21,3,3,19,3,30,18
122,女,60代,1,5960,7360,121290,14100,1400,1040,4500,4200,12160,17690,13850,2480,44410,3060,8340,1,1,12,4,71,29,1,38,1,12,1,15,7
123,女,10代以下,1,10970,14860,151815,25390,7200,415,0,8800,17740,17770,29830,15780,28720,5670,12950,1,1,7,219,NA,54,1,6,4,2,7,7,12
124,男,10代以下,1,10300,11260,115545,23810,2000,835,3000,9280,12880,10670,28440,5640,29230,1600,5660,1,2,322,125,221,7,2,25,2,10,1,114,58
125,女,50代,1,1660,2950,25885,2360,0,355,0,200,2810,1370,3250,920,10180,1400,3680,5,5,NA,19,NA,116,48,134,5,37,25,40,88
126,男,10代以下,1,370,1200,13180,2430,0,50,0,1200,1150,1030,3640,740,4080,0,1290,5,5,NA,250,NA,60,24,61,5,30,18,NA,49
127,女,60代,1,5620,13060,113045,13280,1700,225,2000,8000,11320,10750,18660,8500,36790,3720,4250,1,13,94,131,276,15,3,7,13,1,8,37,9
128,男,30代,1,13580,17480,122235,16760,3200,1075,5000,14400,12880,6070,18100,4340,42410,880,8960,1,1,99,23,222,5,5,8,1,1,1,16,34
129,男,60代,1,4430,11630,77070,8280,3000,900,3500,9300,7120,4500,13460,1060,26190,790,5300,1,1,289,37,113,1,5,5,1,63,1,188,31
130,女,10代以下,1,3310,10540,69560,6980,3900,560,0,5300,7600,6540,10020,5100,16780,2560,5700,1,1,62,16,NA,8,1,33,6,2,10,2,2
131,女,10代以下,1,6550,17990,102985,15760,2750,215,1000,12320,12410,4690,22550,5520,24360,1600,9780,1,1,259,187,104,9,1,13,1,14,5,6,15
132,女,10代以下,1,5760,4270,41830,3350,6000,0,0,3140,4180,2490,8010,800,9040,880,4770,2,11,39,NA,NA,15,2,111,13,7,9,11,9
133,男,50代,1,1240,6980,21670,1490,200,100,0,1200,2180,2270,2520,1520,8220,0,2100,6,6,14,273,NA,287,21,15,6,11,6,NA,75
134,女,40代,1,2870,2360,29375,3220,2000,155,0,4400,1970,3650,2570,1860,9950,400,1290,2,5,148,29,NA,85,10,2,5,29,12,6,81
135,男,30代,1,5150,12540,95105,10520,1500,1005,1000,6200,14120,7210,10810,2780,36450,1630,8520,1,1,15,217,269,138,1,1,1,9,1,3,1
136,男,70代以上,1,9140,17030,125500,16100,4960,0,4000,4300,12770,7080,18660,5220,50590,2330,9760,4,4,76,NA,178,39,6,25,4,7,4,29,12
137,女,10代以下,1,3080,4600,51030,9780,3600,120,0,2600,5220,3910,11090,2920,13090,500,6100,1,1,146,23,NA,80,3,2,4,1,3,37,7
138,男,30代,1,2950,4830,52475,4390,0,225,1000,3900,6000,4190,9880,1560,15630,4430,3700,1,10,NA,74,181,92,10,25,1,40,1,6,3
139,女,20代,1,7790,31565,103300,13720,2000,660,0,8300,13160,8470,12250,4400,37840,2530,7260,1,6,280,232,NA,9,6,35,2,19,1,23,14
140,男,70代以上,1,1960,1800,30770,2830,3000,0,0,5400,4420,1070,3200,740,8450,500,2590,11,11,71,NA,NA,184,36,18,11,115,13,47,22
141,男,60代,1,3120,7860,74180,8630,2250,1160,5500,4500,6950,8590,8780,3180,23330,430,6350,1,1,163,58,33,24,1,1,1,1,8,126,26
142,女,10代以下,1,7660,13740,108300,21680,1800,740,0,15780,14150,7800,19590,4840,25710,4210,8000,1,1,109,16,NA,24,8,4,1,1,6,16,31
143,女,10代以下,1,4500,8970,41455,7210,0,465,0,1080,4810,4010,7650,1860,12430,200,6170,3,12,NA,13,NA,59,9,168,3,9,4,207,5
144,男,70代以上,1,8330,7740,81605,7030,1400,225,7500,3280,7080,4230,15130,2600,27260,1200,5780,2,3,91,157,122,33,7,14,3,43,2,24,8
145,男,30代,0,890,670,16200,740,0,0,8500,1200,1300,0,1150,200,2970,0,400,11,11,NA,NA,34,76,30,NA,11,89,66,NA,169
146,女,60代,1,5740,11230,139125,15200,1320,465,31500,5880,12800,8520,13750,6700,35540,4660,10860,1,3,167,38,68,9,1,52,3,3,3,28,7
147,男,60代,1,3860,5790,65210,6460,3850,120,3000,5960,6370,7450,9010,1940,18410,680,6280,1,2,112,309,137,45,34,3,2,35,1,6,51
148,女,30代,0,2220,1350,20890,2770,0,220,0,1900,1580,2170,4490,580,8640,250,480,5,12,NA,16,NA,304,11,16,6,106,6,5,16
149,女,30代,1,7035,14520,97790,9390,12720,720,5000,3300,10550,7650,11970,3080,27610,2300,8270,2,2,92,26,35,145,3,23,2,25,2,20,24
150,女,30代,1,8690,7070,74610,9060,2000,890,1000,6760,7930,4490,12340,4720,23810,2040,4890,1,2,220,8,290,93,17,13,2,71,1,45,36
151,男,40代,1,1430,3080,26420,3890,2100,0,0,600,3280,1690,5450,1340,8520,360,1790,2,13,157,NA,NA,97,2,62,13,5,17,193,116
152,男,20代,1,10240,12285,118205,13740,2650,915,10500,5620,10420,9470,17130,9360,39400,1130,4150,1,1,19,15,177,18,3,28,6,1,3,64,20
153,男,10代以下,1,3090,4840,76485,14800,2200,355,9000,4800,10650,2780,13280,3720,17480,880,5870,4,12,114,154,221,44,7,4,9,5,6,133,13
154,女,40代,1,1340,3590,37490,3740,0,300,5000,2000,3080,4970,4960,1240,11760,200,3190,1,25,NA,249,277,52,10,24,8,53,1,225,7
155,男,70代以上,1,3850,7000,33200,4270,0,0,0,2600,5550,2660,5510,840,10650,1000,1340,1,26,NA,NA,NA,61,14,79,20,1,4,77,7
156,女,30代,1,4730,4530,28340,1090,1600,220,3000,600,2060,4870,2560,720,5790,2760,2600,1,4,256,256,319,270,4,1,9,24,18,8,172
157,男,20代,1,6960,10990,106280,12470,8600,340,3000,6580,10080,7580,14070,7180,31230,2300,10600,1,4,2,43,358,42,5,1,4,20,2,144,15
158,男,60代,1,3510,1740,16270,1970,2000,120,2500,3000,1600,280,1010,1120,3420,0,390,5,33,28,209,321,23,5,156,33,58,5,NA,144
159,女,60代,1,5550,5790,50100,7090,200,270,0,1780,4670,8620,6260,3500,14690,3040,4580,1,9,227,99,NA,21,12,1,9,29,6,38,6
160,男,60代,1,3020,3590,32670,1990,1000,300,0,4360,2010,480,4780,2280,10700,200,5980,2,16,249,284,NA,172,2,187,4,17,2,246,29
161,女,20代,1,8380,11030,97680,9960,7880,350,5000,5900,8890,6140,8900,3660,29960,3400,11860,2,2,27,116,18,39,4,15,2,4,6,56,17
162,男,30代,1,13940,14420,122890,18970,1400,350,0,8980,14360,7380,24170,6620,42300,2150,9850,2,2,41,141,NA,36,2,6,4,14,2,2,23
163,男,60代,1,2110,4090,30470,4470,0,110,0,1000,2840,2770,7560,1380,11240,500,1090,8,19,NA,30,NA,89,24,10,19,19,26,85,222
164,女,70代以上,1,920,2460,29870,2230,0,170,12000,1000,1980,950,3320,540,6420,950,960,1,1,NA,39,159,210,1,1,16,59,2,178,63
165,女,10代以下,1,6390,9900,109060,14320,9500,350,0,11860,9730,11160,21140,4420,25680,2100,7570,1,2,3,33,NA,7,3,23,3,11,1,2,19
166,男,30代,1,5430,9255,78290,7660,4300,900,2500,10640,6960,5350,9940,2680,21350,1290,6860,1,9,54,68,77,32,5,16,9,1,9,31,10
167,女,70代以上,1,8190,8660,91400,6530,9000,530,5000,13380,8530,8710,6970,2360,21950,1980,10550,1,1,14,48,178,193,1,4,18,15,2,81,15
168,男,70代以上,1,1750,18825,56205,7430,700,155,0,4240,5660,3580,9220,1960,17890,250,7970,3,4,254,55,NA,38,3,68,9,6,3,193,24
169,男,70代以上,1,8350,20820,133025,15810,7300,1295,10000,10380,15190,4900,16470,4720,41760,2820,11480,2,3,48,40,15,2,4,51,3,10,2,5,5
170,男,40代,1,5150,5960,64410,8400,3120,1000,1000,9080,8640,4610,10490,2040,17700,450,4660,1,8,105,22,248,8,15,70,8,26,1,241,80
171,女,50代,1,10010,22180,139150,13720,3900,1260,6000,6340,12330,9290,18930,3140,50860,4460,16230,1,9,49,47,131,45,9,11,9,21,2,23,2
